Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
10330;Šilainių seniūnija;352;prekės;2014.09.17;UAB ''Breolis'';543,33;543,33;Informacinės lentos;Informacinės lentos.;ne per CPO;2014.09.05
10352;Kultūros paveldo skyrius;KAT12.713;paslaugos;2014.10.10;Rimgaudas Miliukštis;208,53;208,53;Kauno miesto nekilnojamojo kultūros paveldo vertinimo tarybos nario paslaugų pirkimas;Kauno miesto nekilnojamojo kultūros paveldo vertinimo tarybos nario paslaugų pirkimas;Ne per CPO;2014.09.09
10354;Bendrasis skyrius;KAT25.851;paslaugos;2014.12.09;VšĮ Kauno Centro poliklinika;1900;1900;Darbuotojų privalomas sveikatos tikrinimas;Darbuotojų privalomas sveikatos tikrinimas;Ne per CPO;2014.09.09
10357;Šilainių seniūnija;KAT27.799;paslaugos;2014.11.27;Asociacija Kauno Šilainių bendruomenės centras;2316,96;2316,96;Kauno romansų festivalis„Ar sugrįš Metropolio vakarai“, „Kalėdinė eglutė“ organizavimo paslaugos;Renginiai: Kauno Romansų festivalis  „ Ar sugrįš Metropolio vakarai ?“, „Kalėdinė eglutė“  organizavimo paslaugos.;Ne per CPO;2014.09.09
10358;Bendrasis skyrius;KAT16.907;paslaugos;2014.10.10;UAB SDG;560,7;560,7;Profesinės rizikos vertinimas;Profesinės rizikos vertinimas;Ne per CPO;2014.09.09
10359;Bendrasis skyrius;351;prekės;2014.10.10;VšĮ Priešgaisrinių paslaugų garantas;487,36;487,36;Aktyvios gaisrinės saugos priemonės, evakuaciniai planai ir gesintuvų patikra;Aktyvios gaisrinės saugos priemonės, evakuaciniai planai ir gesintuvų patikra;Ne per CPO;2014.09.09
10360;Bendrasis skyrius;224;prekės;UAB SDG;243,56;243,56;Darbuotojų saugos ir sveikatos, gaisrinės saugos instrukcijos;Darbuotojų saugos ir sveikatos, gaisrinės saugos instrukcijos;Ne per CPO;2014.09.09
10361;Bendrasis skyrius;148;prekės;2014.10.31;UAB „Vilungė“;4840;4840;Armuotas stiklas su pakeitimu;Armuotas stiklas su pakeitimu;Ne per CPO;2014.09.09
10362;Centro seniūnija;375;prekės;2014.09.29;UAB „Ksil pasaulis“;3127,68;3127,68;Žaidimų aikštelės įrenginiai;Žaidimų aikštelės įrenginiai.;Ne per CPO;2014.09.10
10370;Bendrasis skyrius;336;prekės;2014.10.09;VšĮ „Auki sveikas“;2500;2500;Sezoninio gripo vakcina;Sezoninio gripo vakcina;Ne per CPO;2014.09.10
10372;Dainavos seniūnija;397;prekės;2014.10.22;UAB Avitelos prekyba;724,05;724,05;Šaldytuvas;Šaldytuvai.;ne per CPO;2014.09.10
10373;Dainavos seniūnija;427;prekės;2014.10.23;Siuvimo menas, Armando Zubarevo individuali veikla;1361,21;1361,21;Siuvamoji mašina;Siuvamosios mašinos.;ne per CPO;2014.09.10
10374;Dainavos seniūnija;182;prekės;2014.10.24;PAS MARIJĄ, K. Simanavičiaus salonas;2461,77;2461,77;Žemaitiški tautiniai drabužiai;Žemaitiški tautiniai drabužiai;ne per CPO;2014.09.10
10375;Informacinių technologijų skyrius;484;prekės;2014.10.29;UAB „Nevda“;14382,07;14382,07;Papildomas Žemės nuomos mokesčio informacinės sistemos Savitarnos modulio pirkimas;Papildomas Žemės nuomos mokesčio informacinės sistemos Savitarnos modulio pirkimas;ne per CPO;2014.09.10
10390;Aleksoto seniūnija;KAT27.799;paslaugos;2014.09.15;Aleksoto bendruomenės centras;2316,96;2316,96;14-osios Aleksoto šventės organizavimo paslaugos;Kultūrinio renginio - 14-osios Aleksoto šventės organizavimo paslaugos;Ne per CPO;2014.09.11
10391;Aleksoto seniūnija;KAT26.926;paslaugos;Aleksoto bendruomenės centras;1448,1;1448,1;Aleksoto seniūnaitijų sporto žaidynės;Aleksoto seniūnaitijų sporto žaidynės;Ne per CPO;2014.09.11
10392;Aleksoto seniūnija;KAT26.926;paslaugos;2014.10.03;Aleksoto bendruomenės centras;144,81;144,81;Aleksoto senjorų stalo teniso turnyro organizavimo paslaugos;Aleksoto senjorų stalo teniso varžybos;Ne per CPO;2014.09.11
10393;Miesto tvarkymo skyrius;Darbai;Viadukas Marijampolės pl. virš Vaišvydavos pl.;Darbų pirkimas;2014.10.07;UAB „Autokausta“;38685,07;38685,07;Viaduko Marijampolės pl. virš Vaišvydavos pl. deformacinių pjūvių remonto darbai;Viaduko Marijampolės pl. virš Vaišvydavos pl. deformacinių pjūvių remonto darbai;Ne per CPO;2014.09.11
10430;Vilijampolės seniūnija;352;prekės;2014.10.02;UAB „Gijota“;809,52;809,52;Informacinių lentų pirkimas;Informacinės lentos.;Ne per CPO;2014.09.15
10452;Miesto tvarkymo skyrius;Darbai;Šaligatvio nuo Partizanų link Savanorių pr. 300 ir 302 remontas;Darbų pirkimas;2014.10.06;UAB „Bermanta“;22925,83;22925,83;Šaligatvio nuo Partizanų g. link Savanorių pr. 300 ir 302 daugiabučių gyvenamųjų namų remontas;Šaligatvio-dviračių tako nuo Partizanų g. link Savanorių pr. 300 ir 302 daugiabučių gyvenamųjų namų remontas;Ne per CPO;2014.09.16
10470;Tarptautinių ryšių ir protokolo skyrius;KAT27.701;paslaugos;UAB „Kauno arena“;347,54;347,54;Salės nuomos konferencijai paslaugų pirkimas;Salės nuoma konferencijai „Sveikata. Aplinkosauga. Mobilumas“;ne per CPO;2014.09.17
10492;Panemunės seniūnija;158;prekės;2014.10.07;CHARLOT LT, UAB;288,9;288,9;Įvairūs maisto produktai;Įvairūs maisto produktai.;Ne per CPO;2014.09.19
10495;Transporto ir eismo organizavimo skyrius;Darbai;Kleboniškio g.;Darbų pirkimas;UAB „BISERIS“;2312,91;2312,91;Skersinių triukšmo juostų šaltuoju plastiku Kleboniškio g. darbų pirkimas;Kelių dangos žymėjimo Darbai.;Ne per CPO;2014.09.19
10497;Socialinės paramos skyrius;302;prekės;2014.10.28;UAB ''REO INVESTMENT'';1067,09;1067,09;Nešiojamieji kompiuteriai;Nešiojamieji kompiuteriai.;Pirkimas per CPO;2014.09.19
10499;Socialinės paramos skyrius;302;prekės;2014.10.24;UAB ''Skaitmeninės technologijos'';1039,41;1039,41;Įvairi kompiuterių įranga;Įvairi kompiuterių įranga.;Pirkimas per CPO;2014.09.19
10510;Socialinės paramos skyrius;KAT24.805;paslaugos;2014.11.24;VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ''Dainava'';7234,71;7234,71;Mokomieji seminarai;Mokomieji seminarai.;Ne CPO pirkimas;2014.09.19
10511;Socialinių paslaugų skyrius;322;prekės;UAB „Omnitel“;624,2;624,2;Mobilieji telefonai;Mobilieji telefonai.;per CPO;2014.09.22
10512;Socialinių paslaugų skyrius;325;prekės;2014.10.03;UAB „Trajektorija“;264,13;264,13;Belaidžiai telefonai;Belaidžiai telefonai.;ne per CPO;2014.09.22
10514;Bendrasis skyrius;391;prekės;2014.11.18;UAB „Ambinga“;2316,96;2316,96;Medinės kėdės.;Medinės kėdės.;Ne per CPO;2014.09.22
10530;Socialinių paslaugų skyrius;224;prekės;2014.10.09;UAB „Grafija“;2873,61;2873,61;Griežtos apskaitos ir kiti saugomi spaudiniai.;Griežtos apskaitos ir kiti saugomi spaudiniai.;ne per CPO;2014.09.23
10531;Šančių seniūnija;391;prekės;2014.10.06;UAB „Ambinga“;578,66;578,66;Stalų renginiams pirkimas;Stalų renginiams pirkimas;Ne per CPO;2014.09.23
10550;Dainavos seniūnija;KAT2.601;paslaugos;2014.09.26;;3272,71;Autobuso nuoma su vairuotoju;Miesto ir tolimojo susisiekimo autobusų nuoma su vairuotoju.;ne per CPO;2014.09.24
10551;Bendrasis skyrius;323;prekės;2014.09.25;UAB „Midiaudio“;1150;1150;Garso kolonėlės;Garso kolonėlės;Ne per CPO;2014.09.24
10570;Miesto tvarkymo skyrius;Darbai;Šaligatvio nuo A. Jakšto g. iki Šv. Gertrūdos g. remonto darbai;Darbų pirkimas;2014.10.06;UAB „Bermanta“;6613,93;6613,93;Šaligatvio nuo A. Jakšto g. iki Šv. Gertrūdos g. remontas;Šaligatvio nuo A. Jakšto g. iki Šv. Gertrūdos g. remontas;Ne per CPO;2014.09.26
10571;Miesto tvarkymo skyrius;Darbai;Vilniaus g.;Darbų pirkimas;2014.10.06;UAB „Bermanta“;19484,76;19484,76;Šaligatvio Vilniaus g. atkarpoje nuo J. Gruodžio g. iki M. Valančiaus g. remontas;Šaligatvio Vilniaus g. atkarpoje nuo J. Gruodžio g. iki M. Valančiaus g. remontas;Ne per CPO;2014.09.26
10572;Šančių seniūnija;443;prekės;2014.10.09;Bipa;1177,48;1177,48;Dviračių stovų pirkimas;Dviračių stovų pirkimas;Ne per CPO;2014.09.26
10573;Miesto tvarkymo skyrius;Darbai;T. Ivanausko g.;Darbų pirkimas;2014.10.21;UAB „Kauno keliai“;42245,29;42245,29;Įvažos tarp T. Ivanausko g. 126-168 namų įrengimas;Įvažos tarp T. Ivanausko g. 126-168 namų įrengimo darbai;Ne per CPO;2014.09.29
10590;Bendrasis skyrius;Darbai;Sapiegos g. 4;Darbų pirkimas;2014.10.10;UAB „Santermita“;838,53;838,53;Pastato L. Sapiegos g. 4 šildymo mazgo remonto darbai;Pastato L. Sapiegos g. 4 šildymo mazgo remonto darbai;Ne per CPO;2014.09.29
10610;Eigulių seniūnija;KAT26.920;paslaugos;2014.10.14;Muravos bendruomenės centras;1737,72;1737,72;Kultūros renginio organizavimas;Kultūros renginio organizavimas.;ne per CPO;2014.09.30
10611;Civilinės saugos skyrius;384;prekės;2014.11.17;UAB „Levoriškis“;2882,37;2882,37;Autonominių dūmų jutiklių pirkimas;Autonominių dūmų jutiklių pirkimas;ne per CPO;2014.09.30
10630;Bendrasis skyrius;185;prekės;2014.10.13;Audrius Jankauskas;1353,97;1353,97;Dekoratyviniai kalavijai;Dekoratyviniai kalavijai;Ne per CPO;2014.10.01
10690;Miesto tvarkymo skyrius;Darbai;Šv. Gertrūdos g.;Darbų pirkimas;2014.10.10;UAB „Bermanta“;8636,81;8636,81;Pėsčiųjų perėjos Šv. Gertrūdos g. ties Šauklių g. remontas;Pėsčiųjų perėjos Šv. Gertrūdos g. ties Šauklių g, remontas;Ne per CPO;2014.10.06
10731;Kultūros paveldo skyrius;Darbai;Atminimo lenta V. Starevičiui;Darbų pirkimas;2014.11.05;Kauno paminklų rest. proj. Institutas/ UAB ''Kauno projektavimo restauravimo ir statybos institutas'';5431,82;5431,82;Skulptūrinių elementų prie V. Starevičiaus atminimo lentos pagaminimo ir įrengimo darbai;Skulptūrinių elementų prie V. Starevičiaus atminimo lentos pagaminimo ir įrengimo darbai;Ne per CPO;2014.10.08
10752;Investicijų ir strateginio planavimo skyrius;KAT13.793;paslaugos;2014.10.15;UAB „Statyba ir architektūra“;2420;2420;Reklamos paslaugos . Straipsnis žurnale''Statyba ir architektūra'';Reklamos paslaugos. Straipsnis žurnale ''Statyba ir architektūra'';Ne per CPO, pagal tiekėją;2014.10.09
10770;Finansų skyrius;KAT27.983;paslaugos;2014.10.15;AB Lietuvos paštas;2419,28;2419,28;Korespndencijos parengimo išsiuntimui paslaugos;Korespondencijos parengimo išsiuntimui paslaugos.;pirkimas nebus atliekamas per CPO;2014.10.10
10811;Kūno kultūros ir sporto skyrius;Darbai;Rotušės a. čiuožyklos įrengimas;Darbų pirkimas;2014.11.19;Vilniaus ekstremalių sporto šakų klubas ''Arena'';20273,4;20273,4;Čiuožyklos įrengimo Rotušės aikštėje pirkimas;Čiuožyklos įrengimo Rotušės aikštėje pirkimas;Ne per CPO;2014.10.15
10830;Centro seniūnija;374;prekės;2014.11.25;UAB Senukų prekybos centras;868,8;868,8;Sporto prekės ir reikmenys gimnastikai;Sporto prekės ir reikmenys gimnastikai.;Ne per CPO;2014.11.04
10834;Viešosios tvarkos skyrius;KAT10.793;paslaugos;2014.11.21;UAB ''BMS sprendimai'';2374,88;2374,88;Papildomos įrangos tinkamumo įvertinimo pasalugos;Veiklos rezultatų tikrinimo paslaugos.;Ne per CPO;2014.10.17
10835;Miesto tvarkymo skyrius;Darbai;Kariūnų pl.;Darbų pirkimas;2014.10.29;UAB „Bermanta“;8272,07;8272,07;Kariūnų pl. įvažos į automobilių stovėjimo aikštelę remontas;Kariūnų pl. įvažos į automobilių stovėjimo aikštelę remontas;Ne per CPO;2014.10.17
10837;Miesto tvarkymo skyrius;Darbai;Viadukas Marijampolės pl. virš Vaišvydavos pl.;Darbų pirkimas;2014.10.31;UAB „Kauno keliai“;22590,38;22590,38;Viaduko Marijampolės pl. virš Vaišvydavos pl. asfaltbetonio dangos remontas;Viaduko marijampolės pl. virš Vaišvydavos pl. asfaltbetonio dangos remontas;Ne per CPO;2014.10.17
10838;Dainavos seniūnija;182;prekės;2014.10.24;VŠĮ ''Tautinio Kostiumo Studija'';2461,77;2461,77;Dzūkiški tautiniai drabužiai;Dzūkiški tautiniai drabužiai;ne per CPO;2014.10.17
10840;Dainavos seniūnija;182;prekės;2014.10.24;PAS MARIJĄ, K. Simanavičiaus salonas;2461,77;2461,77;Aukštaitiški tautiniai drabužiai;Aukštaitiški tautiniai drabužiai;ne per CPO;2014.10.17
10841;Dainavos seniūnija;182;prekės;2014.10.24;VŠĮ ''Tautinio Kostiumo Studija'';2461,77;2461,77;Suvalkietiški tautiniai drabužiai;Suvalkietiški tautiniai drabužiai;ne per CPO;2014.10.17
10842;Bendrasis skyrius;314;prekės;2014.12.11;UAB ''Jungtis'';1500;1500;Apsauginės signalizacijos akumuliatoriai;Apsauginės signalizacijos akumuliatoriai;Ne per CPO;2014.10.17
10850;Bendrasis skyrius;322;prekės;2014.10.31;UAB „Omnitel“;5703,2;5703,2;Mobilieji telefonai;Mobilieji telefonai;Per CPO;2014.10.20
10853;Šilainių seniūnija;KAT26.920;paslaugos;Asociacija Kauno Šilainių bendruomenės centras;1448,1;1448,1;Sportuojančių, šokančių narių telkimas treniruočių, užsiėmimų ir mokymų organizavimas;Sportuojančių, šokančių narių telkimas, treniruočių, užsiėmimų ir mokymų organizavimas;Ne per CPO;2014.10.22
10891;Bendrasis skyrius;KAT1.506;paslaugos;2014.12.16;UAB „Skaitmeninė elektronika“;1919,06;1919,06;Apsauginės signalizacijos remontas P. Plechavičiaus g. 9A;Apsauginės signalizacijos remontas P. Plechavičiaus g. 9A;Ne per CPO;2014.10.23
10911;Šilainių seniūnija;158;prekės;2014.11.21;UAB ''BIS'';867,99;868,86;Šokoladas ir konditerijos gaminiai iš cukraus;Šokoladas ir konditerijos gaminiai iš cukraus.;Ne per CPO;2014.10.24
10932;Viešosios tvarkos skyrius;325;prekės;2014.12.09;TEO LT, AB;17092,86;17092,86;Duomenų perdavimo įranga;Duomenų perdavimo įranga;Ne per CPO;2014.10.24
10933;Viešosios tvarkos skyrius;386;prekės;2014.12.10;TEO LT, AB;7450,32;7450,32;Vaizdo stebėjimo mobiliosios skaitmeninės kameros;Vaizdo stebėjimo mobiliosios skaitmeninės kameros;Ne per CPO;2014.10.24
10951;Informacinių technologijų skyrius;KAT7.722;paslaugos;2014.11.18;MB ''Verslo cechas'';1981;1981;Projektui AT FORT skirtos svetainės sukūrimo ir kitų susijusių paslaugų pirkimas;Projektui AT FORT skirtos svetainės sukūrimo ir kitų susijusių paslaugų pirkimas;ne per CPO;2014.10.27
10952;Aplinkos apsaugos skyrius;185;prekės;2014.11.03;1313,85;1313,85;Sveikinimų lentelių pirkimas;Sveikinimų lentelės;Ne per CPO;2014.10.27
10957;Aleksoto seniūnija;KAT27.799;paslaugos;2014.11.27;Aleksoto bendruomenės centras;1158,48;1158,48;Kalėdų eglutės organizavimo paslaugos.;Kalėdų eglutės organizavimo paslaugos.;Ne per CPO;2014.10.27
10958;Bendrasis skyrius;KAT26.923;paslaugos;Edmundas Unguraitis;1737,72;1737,72;2015 m. simbolis;2015 m. simbolis;Ne per CPO, pagal tiekėją;2014.10.28
10971;Bendrasis skyrius;185;prekės;UAB Lietuvos monetų kalykla;1148,04;1148,04;J. Vileišio vardo medaliai;J. Vileišio vardo medaliai;Ne per CPO;2014.10.29
10972;Bendrasis skyrius;395;prekės;2014.11.25;UAB „Dextera“;12090;12090;Žaliuzės;Žaliuzės;Ne per CPO;2014.10.29
10973;Kultūros paveldo skyrius;Darbai;Atminimo lenta Vladui Putvinskiui-Pūtviui, Laisvės al. 34;Darbų pirkimas;2014.11.10;UAB ,,Akmelita ir KO'';753,01;753,01;Atminimo lentos Vladui Putvinskiui-Pūtviui įrengimas Laisvės al.34 Kaune;Atminimo lentos Vladui Puvinskiui-Pūtviui įrengimas Laisvės al.34 Kaune;Ne per CPO;2014.10.29
10993;Šančių seniūnija;433;prekės;2014.11.24;UAB Terra media;1083,46;1083,46;Surenkamų įrenginių parodų, meninių dirbinių ir informacijos talpinimui pirkimas;Surenkamųjų įrenginių parodų, meninių dirbinių ir informacijos talpinimui pirkimas;Ne per CPO;2014.10.30
11011;Gričiupio seniūnija;KAT27.799;paslaugos;2014.11.06;Kauno Šv. Antano Paduviečio parapija;2606,58;2606,58;Adventinės popietės „Gerumu sušildyk“;Adventinė popietė „Gerumu sušildyk“;ne per CPO;2014.11.03
11012;Asmenų aptarnavimo skyrius;222;prekės;2014.11.06;Valstybės žinios;222,88;222,88;Valstybės žinių prenumerata;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.11.03
11052;Statybos skyrius;KAT12.713;paslaugos;2014.11.12;UAB „AF-Consult“;350,44;350,44;Daugiabučių namų Sąjungos a. 15, Kaune ir Taikos pr. 84 II korpuso, Kaune atnaujinimo (modernizavimo) investicijų planų tikslinimo paslaugos pirkimas;Daugiabučių namų Sąjungos a. 15, Kaune ir Taikos pr. 84 II korpuso, Kaune atnaujinimo (modernizavimo) investicijų planų tikslinimo paslaugos pirkimas;ne per CPO;2014.11.04
11053;Žaliakalnio seniūnija;KAT27.799;paslaugos;Žaliakalnio bendruomenės centras Pelėdos“;172,32;173,77;Advento vakaronė;Advento vakaronė;ne per CPO;2014.11.04
11071;Bendrasis skyrius;322;prekės;2014.11.21;UAB „Omnitel“;2974;2974;Išskirtiniai mobilieji telefonai;Išskirtiniai mobilieji telefonai.;Ne per CPO;2014.11.05
11072;Dainavos seniūnija;370;prekės;2014.11.13;UAB Jurasta;2867,24;2867,24;Prekių pirkimas projektui Skaityk,kurk,žaisk daugų būryje;Muzikos instrumentai, sporto prekės, žaidimai, žaislai, rankdarbiai, meno kūriniai ir jų priedai.;ne per CPO;2014.11.05
11073;Šilainių seniūnija;375;prekės;UAB ''Ežerėlio vaivorykštė'';3423,31;3475,44;Žaidimų aikštelės įrenginiai;Žaidimų aikštelės įrenginiai.;Ne per CPO;2014.11.05
11094;Bendrasis skyrius;KAT6.665;paslaugos;2014.11.17;'BTA Insurance Company'' SE filialas Lietuvoje;63,72;63,72;Automobilių valdytojų civilinės atsakomybės privalomasis draudimas;Automobilių valdytojų civilinės atsakomybės privalomasis draudimas;Ne per CPO;2014.11.06
11134;Informacinių technologijų skyrius;KAT7.723;paslaugos;2014.11.11;VĮ „Infostruktūra“;84,11;84,11;Domenų įsigijimo ir panaudos paslaugos;Domenų įsigijimo ir panaudos paslaugos.;ne per CPO;2014.11.07
11155;Šančių seniūnija;184;prekės;2014.11.21;UAB ''Sporto fėja'';296,86;296,86;Sportinių marškinėlių pirkimas;Sportinių marškinėlių pirkimas;Ne per CPO;2014.11.10
11156;Šančių seniūnija;158;prekės;2014.12.03;UAB ''Eurobiuras'' - keitėsi įmonės pavadinimas;77,98;77,98;Įvairių maisto produktų pirkimas;Įvairių maisto produktų pirkimas;Ne per CPO;2014.11.10
11157;Šančių seniūnija;395;prekės;2014.12.03;UAB ''Easy Fun'';269,35;269,35;Sulankstomos lauko pavėsinės (tento) pirkimas;Sulankstomos lauko pavėsinės (tento) pirkimas;Ne per CPO;2014.11.10
11159;Kultūros paveldo skyrius;Darbai;Atminimo lenta Valdemarui Manomaičiui, Parodos g. 7;Darbų pirkimas;2014.11.21;Danielius Sodeika;753,01;753,01;Atminimo lentos Valdemarui Manomaičiui įrengimas Parodos g.7 Kaune;Atminimo lentos Valdemarui Manomaičiui įrengimas Parodos g.7 Kaune;Ne per CPO;2014.11.10
11160;Kultūros paveldo skyrius;Darbai;Atminimo lenta Jonui Karučiui, J. Staugaičio g. 16;Darbų pirkimas;2014.11.21;Skulptorius Balys Gudas;724,05;724,05;Atminimo lentos Jonui Karučiui įrengimas J.Staugaičio g.16 Kaune;Atminimo lentos Jonui Karučiui įrengimas J.Staugaičio g.16 Kaune;Ne per CPO;2014.11.10
11164;Kultūros paveldo skyrius;Darbai;Atminimo lenta Antanui Gedmantui, Aukštaičių g. 44;Darbų pirkimas;2014.11.24;Jonas Lukšė;521,32;521,32;Atminimo lentos kpt. Antanui Gedmantui įrengimas Aukštaičių g.44 Kaune;Atminimo lentos kpt. Antanui Gedmantui įrengimas Aukštaičių g.44 Kaune;Ne per CPO;2014.11.10
11194;Centro seniūnija;KAT27.799;paslaugos;2014.11.25;Kauno valstybinis dramos teatras;1442,31;1442,31;Kultūrinis renginys ''Kalėdų eglutė'' spektaklio užsakymas.;Kultūrinis renginys ''Kalėdų eglutė'' spektaklio užsakymas.;Ne per CPO;2014.11.10
11216;Šilainių seniūnija;322;prekės;2014.11.27;UAB Novanet;842,79;842,79;Mobilieji telefonai;Mobilieji telefonai.;Ne per CPO;2014.11.11
11234;Bendrasis skyrius;442;prekės;UAB „VAP Glass“;579,24;579,24;Mažosios salės stiklinės durys;Mažosios salės stiklinės durys;Ne per CPO;2014.11.11
11235;Bendrasis skyrius;Darbai;Rotušės a. 29;Darbų pirkimas;2014.11.25;UAB „Santermita“;5000;Pastato Rotušės a. 29 magistralinio šalto vandens vandentiekio ir šildymo sistemos vamzdyno remonto darbai;Pastato Rotušės a. 29 magistralinio šalto vandens vandentiekio ir šildymo sistemos vamzdyno remonto darbai;Ne per CPO;2014.11.11
11255;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.11.26;VšĮ ''Žurnalistinių tyrimų ir konsultacijų grupė'';868,86;868,86;Reklamos paslaugos. Žurnalas ''Reitingai'';Reklamos paslaugos. Žurnalas ''Reitingai'';ne per CPO;2014.11.12
11274;Šilainių seniūnija;KAT27.799;paslaugos;Asociacija Kauno Šilainių bendruomenės centras;289,62;289,62;Mokymo priemonės, skatinančios saviraišką ir gyventojų išprusimą organizavimo paslaugos;Mokymo priemonės, skatinančios saviraišką ir gyventojų išprusimą organizavimo paslaugos (Muziejaus lankymas su edukacine programa).;Ne per CPO;2014.11.13
11294;Statybos skyrius;302;prekės;2014.12.02;UAB ''Saulenet IT'';10143;10143;Nešiojamų kompiuterių pirkimas;Nešiojamieji kompiuteriai.;ne per CPO;2014.11.19
11295;Asmenų aptarnavimo skyrius;222;prekės;2014.11.17;UAB ''Mokesčių žinios'';77,91;77,91;'Mokesčių žinių'' prenumerata;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.11.13
11314;Dainavos seniūnija;KAT27.799;paslaugos;2014.11.26;Kauno Gerojo Ganytojo parapija;1592,91;1592,91;Adventinė - Kalėdinė popietė;Adventinė - Kalėdinė popietė;ne per CPO;2014.11.14
11315;Dainavos seniūnija;KAT2.601;paslaugos;2014.11.27;UAB „Excursus“;2867,24;2867,24;Miesto ir tolimojo susisiekimo aut. nuoma;Miesto ir tolimojo susisiekimo autobusų nuoma su vairuotoju.;ne per CPO;2014.11.14
11316;Dainavos seniūnija;KAT12.712;paslaugos;2014.11.27;UAB „Kančo studija“;1448,1;1448,1;Paminklo Kovo 11-ajai atminti projektavimo paslauga;Paminklo Kovo 11-ajai atminti projektavimo paslaugos;ne per CPO;2014.11.14
11343;Bendrasis skyrius;301;prekės;2014.11.25;UAB ,,Spaudmeta“;4998,4;4998,4;Įvairios paskirties kalendoriai;Įvairios paskirties kalendoriai;Ne per CPO;2014.11.17
11374;Bendrasis skyrius;352;prekės;2014.12.15;UAB „Ambinga“;500;500;Kamštinė medžiaga skelbimų lentoms;Kamštinė medžiaga skelbimų lentoms;Ne per CPO;2014.11.19
11375;Miesto tvarkymo skyrius;Darbai;J. Damijonaičio g.;Darbų pirkimas;2014.12.01;UAB „Bermanta“;10292,33;10292,33;Paviršinio vandens surinkimo prie J. Damijonaičio g. ir šaligatvio remontas bei Vidukalnio g. lietaus nuotekų remontas;Paviršinio vandens surinkimo prie J. Damijonaičio g. ir šaligatvio remontas bei Vidukalnio g. lietaus nuotekų remontas;Ne per CPO;2014.11.19
11376;Asmenų aptarnavimo skyrius;222;prekės;2014.11.24;VšĮ „Savivaldybių žinios“;688,14;688,14;Savivaldybių žinių prenumerata;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.11.19
11395;Bendrasis skyrius;421;prekės;2014.12.01;UAB „Santermita“;2800;2800;Cirkuliacinis siurblys;Cirkuliacinis siurblys;Ne per CPO;2014.11.20
11414;Šančių seniūnija;158;prekės;2014.11.28;UAB Sanitex;119,95;119,95;Saldžiųjų Kalėdinių dovenėlių pirkimas;Saldžiųjų Kalėdinių dovanėlių ir įvairių maisto produktų pirkimas;15800000-6, ne per CPO;2014.11.21
11415;Asmenų aptarnavimo skyrius;222;prekės;AB Lietuvos paštas;1641,44;1641,44;Prenumerata per paštą;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai.;Ne per CPO;2014.11.21
11434;Bendrasis skyrius;KAT24.805;paslaugos;2014.11.27;VšĮ Priešgaisrinių paslaugų garantas;260,66;260,66;Darbuotojų gaisrinės saugos mokymo ir atestavimo paslaugos;Darbuotojų gaisrinės saugos mokymo ir atestavimo paslaugos;Ne per CPO;2014.11.24
11455;Centro seniūnija;KAT27.799;paslaugos;2014.12.12;VšĮ Kauno religinės muzikos centras;796,45;796,45;Kalėdinės vargoninės muzikos koncerto organizavimas;Kalėdinės vargoninės muzikos koncerto organizavimas;Ne per CPO;2014.11.25
11494;Bendrasis skyrius;341;prekės;2014.12.03;UAB „Ambinga“;10000;10000;Krovininio automobilio nuoma;Krovininio automobilio nuoma;Ne per CPO;2014.11.28
11514;Bendrasis skyrius;Darbai;J. Gruodžio g. 9;Darbų pirkimas;2014.12.08;Individuali įmonė V. Verbavičiaus firma „Vermeda“;24993,76;24993,76;Gruodžio g. 9 pertvarkymo darbai;Gruodžio g. 9 pertvarkymo darbai;Ne per CPO;2014.12.01
11516;Informacinių technologijų skyrius;KAT7.723;paslaugos;2014.12.01;Kauno technologijos universitetas;11,56;11,56;Internetinio domeno sveikasjaunimas.lt panaudojimo paslauga;Internetinio domeno sveikasjaunimas.lt panaudojimo paslauga;ne per CPO;2014.12.01
11517;Socialinių paslaugų skyrius;158;prekės;UAB ''Eurobiuras'' - keitėsi įmonės pavadinimas;9999,99;9999,99;Įvairūs maisto produktai;Įvairūs maisto produktai.;ne per CPO;2014.12.02
11518;Bendrasis skyrius;315;prekės;2014.12.11;UAB „Ambinga“;1990;1990;Elektrinės girliandos;Elektrinės girliandos;Ne per CPO;2014.12.02
11519;Kultūros paveldo skyrius;Darbai;Panemunės kapinės, Tylos g.;Darbų pirkimas;2014.12.17;UAB ,,Akmelita ir KO'';1448,1;1448,1;Panemunės kapinių informacinio ženklo išplėtimo darbai;Panemunės kapinių informacinio ženklo išplėtimo darbai;Ne per CPO;2014.12.02
