Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
8415;Bendrasis skyrius;323;prekės;2014.04.11;UAB Avitelos prekyba;624,12;624,12;Diktofonai;Diktofonai;Ne per CPO;2014.03.14
8430;Bendrasis skyrius;KAT6.665;paslaugos;2014.03.21;'BTA Insurance Company'' SE filialas Lietuvoje;31,86;31,86;Įprastinės transporto priemonių valdytojų civilinės atsakomybės privalomasis draudimas;Įprastinės transporto priemonių valdytojų civilinės atsakomybės privalomasis draudimas;Ne per CPO;2014.03.18
8450;Šilainių seniūnija;349;prekės;2014.04.10;UAB ''Izovoltas'';5712,18;5712,18;Kelių priežiūros ir remonto įrenginiai;Kelių priežiūros ir remonto įrenginiai.;Ne per CPO;2014.03.19
8454;Bendrasis skyrius;442;prekės;2014.04.02;UAB „Ambinga“;28038,11;28038,11;Balsavimo kabinos, balsavimo inventoriaus nuvežimas į rinkimų apylinkes, sumontavimas/išmontavimas ir pervežimas saugoti;Balsavimo kabinos, balsavimo inventoriaus nuvežimas į rinkimų apylinkes, sumontavimas/išmontavimas ir pervežimas saugoti;Ne per CPO;2014.03.19
8455;Bendrasis skyrius;441;prekės;2014.03.21;UAB „AUDIOTONAS“;143,35;143,35;Spalvotos plėvelės;Spalvotos plėvelės;Ne per CPO;2014.03.19
8456;Bendrasis skyrius;352;prekės;2014.03.25;UAB ''Rokaras'';260,66;260,66;Besikeičiančios informacijos švieslentės;Besikeičiančios informacijos švieslentės;Ne per CPO;2014.03.19
8470;Kūno kultūros ir sporto skyrius;184;prekės;2014.05.30;AB Audimas;10126,32;10126,32;Sportinės aprangos pirkimas;Sportinės aprangos pirkimas;18931100-5 Ne per CPO;2014.03.20
8490;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.03.26;UAB „Diena Media News;2873,6;2873,6;Reklamos paslaugos. Specialiame metiniame žurnale ''Verslas.Lyderiai'';Reklamos paslaugos. Specialiame metiniame žurnale ''Verslas.Lyderiai'';ne per CPO;2014.03.24
8510;Miesto tvarkymo skyrius;Darbai;Pontoninė prieplauka prie Vytauto Didžiojo bažnyčios;Darbų pirkimas;2014.04.08;Mažoji bendrija ''Narų darbai'';3912,77;3912,77;Pontoninės prieplaukos pastatymas ir nuėmimas Kauno senamiestyje prie Vytauto Didžiojo bažnyčios;Pontoninės prieplaukos pastatymas ir nuėmimas Kauno senamiestyje prie Vytauto Didžiojo bažnyčios;Ne per CPO;2014.03.25
8511;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.03.26;UAB „Statyba ir architektūra“;911,15;911,15;Reklamos paslaugos. Specialiame leidinyje ''Statyba ir architektūra''.;Reklamos paslaugos. Specialiame leidinyje ''Statyba ir architektūra''.;ne per CPO;2014.03.25
8513;Bendrasis skyrius;KAT1.508;paslaugos;2014.04.02;UAB Capsa;960;960;Alkotesterio ''ALCOTECTOR C2H50H'' remontAS ir patikra;Alkotesterio ''ALCOTECTOR C2H50H'' remontAS ir patikra;Ne per CPO;2014.03.26
8514;Bendrasis skyrius;KAT20.635;paslaugos;2014.05.19;UAB ''Nertinis'';4906,44;9812,88;kraustymo paslaugos;Kraustymo paslaugos;Ne per CPO;2014.03.26
8530;Civilinės saugos skyrius;317;prekės;2014.04.28;Vaidoto Sipavičiaus įmonė;8679,91;8679,91;Elektros sirenų valdymo įrenginių pirkimas;Elektros sirenų valdymo įrenginių pirkimas ir jų montavimas;ne per CPO;2014.03.27
8551;Bendrasis skyrius;442;prekės;MB ,,Įdoma“;854,38;854,38;Durys;Durys.;Ne per CPO. 45421131-1;2014.03.31
8552;Viešosios tvarkos skyrius;323;prekės;2014.08.04;UAB “FORLITA”;560,7;560,7;Diktofonai kartu su filmavimo funkcija;Diktofonai kartu su filmavimo funkcija;Ne per CPO;2014.03.31
8557;Petrašiūnų seniūnija;386;prekės;UAB „ Kuršių verslo grupė“;266,16;289,62;Fotoaparatas;Fotoaparatai.;ne per CPO;2014.03.31
8558;Petrašiūnų seniūnija;323;prekės;UAB Mediashop;86,6;86,89;Radijo imtuvas;Radijo imtuvai.;ne per CPO;2014.03.31
8571;Sveikatos apsaugos skyrius;KAT25.850;paslaugos;2014.06.18;Ave Vita klinika, UAB;5788,06;5788,06;Neapdraustų privalomuoju sveikatos draudimu asmenų sveikatos stiprinimo paslaugos;Neapdraustų privalomuoju sveikatos draudimu asmenų sveikatos priežiūros paslaugos;Ne per CPO;2014.04.01
8573;Sveikatos apsaugos skyrius;KAT24.805;paslaugos;2014.06.20;UAB ''Baltijos psichikos sveikatos centras'';12780,76;12780,76;Senyvo amžiaus asmenų gyvenimo kokybės gerinimas;Sveikatos mokymai ir sveiką gyvenseną skatinančių paslaugų teikimas senyvo amžiaus gyventojams;Ne per CPO;2014.04.01
8575;Miesto tvarkymo skyrius;Darbai;Vilniaus g.;Darbų pirkimas;2014.04.14;UAB „Bermanta“;4456,63;4456,63;Vilniaus g.  (nuo Nr. 74 iki Nr. 66) gelžbetoninių plokščių dangos remontas;Vilniaus g. (nuo Nr. 74 iki Nr. 66);Ne per CPO;2014.04.02
8577;Bendrasis skyrius;KAT1.508;paslaugos;2014.06.09;UAB „Santermita“;525,66;525,66;Kondicionierių remontas ir priežiūra;Kondicionierių remontas ir priežiūra;Ne per CPO;2014.04.02
8578;Bendrasis skyrius;322;prekės;UAB „Omnitel“;2517,64;2517,64;Išskirtiniai išmanieji mobilieji telefonai su lietimui jautriu ekranu;Išskirtiniai išmanieji mobilieji telefonai su lietimui jautriu ekranu;Per CPO;2014.04.02
8579;Eigulių seniūnija;31;prekės;2014.04.11;UAB Tarp gėlių LT;434,43;434,43;Skintų ir vazoninių gėlių bei puokščių pirkimas;Skintų ir vazoninių gėlių bei puokščių pirkimas;ne per CPO, 03121210-0;2014.04.02
8590;Socialinių paslaugų skyrius;222;prekės;2014.04.16;UAB „Diena Media News;86,89;86,89;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai (Kauno diena);Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai (Kauno diena);ne per CPO;2014.04.03
8593;Socialinių paslaugų skyrius;222;prekės;2014.04.16;UAB „Lietuvos rytas;158,42;158,42;Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai (Lietuvos rytas);Laikraščiai, dienraščiai, periodiniai leidiniai ir žurnalai (Lietuvos rytas);ne per CPO;2014.04.03
8596;Gričiupio seniūnija;31;prekės;2014.04.23;J. VAN VLIET (KAUNAS) CASH & CARRY, UAB;144,8;144,81;Gėlės;Skintos gėlės.;ne per CPO;2014.04.03
8603;Šilainių seniūnija;158;prekės;2014.04.17;UAB ''Eurobiuras'' - keitėsi įmonės pavadinimas;247,8;289,62;Įvairūs maisto produktai;Įvairūs maisto produktai.;Ne per CPO;2014.04.04
8608;Bendrasis skyrius;392;prekės;Edmundas Unguraitis;952,85;952,85;Stiklo gaminiai;Stiklo gaminiai;Ne per CPO;2014.04.04
